league,sc_player_id,player_name_sc,team_name_sc,best_sb_name,best_sb_team,best_sb_id,best_dist,same_team,common_tokens,sc_in_sb,sb_in_sc,sc_tokens,sb_tokens
Chile,741346,Lucas Molina,Nublense,Lucas Marcotti,Deportes Iquique,475703,0.20079365079365086,FALSE,1,FALSE,FALSE,lucas|molina,lucas|marcotti
Chile,922030,Felipe Faúndez,Club Deportivo O'Higgins,Felipe Ogaz,O'Higgins,194422,0.17965367965367968,FALSE,1,FALSE,FALSE,felipe|faundez,felipe|ogaz
Chile,1000788,Martín Ignacio Guzmán Carreño,Everton de Viña del Mar,Martín Ignacio Espinoza Alfaro,O'Higgins,474896,0.19746793270031665,FALSE,2,FALSE,FALSE,martin|ignacio|guzman|carreno,martin|ignacio|espinoza|alfaro
Chile,1008824,Yair Franco Ratotti,Club de Deportes Unión Española,Juan Ignacio Figueroa,Huachipato,463008,0.3219908746224536,FALSE,0,FALSE,FALSE,yair|franco|ratotti,juan|ignacio|figueroa
MLS,7157,Mathias Jattah-Njie Jørgensen,LA Galaxy,Mathías Laborda,Vancouver Whitecaps,36703,0.2988095238095238,FALSE,1,FALSE,FALSE,mathias|jattahnjie|jorgensen,mathias|laborda
MLS,10373,Timothy Michael Ream,Charlotte FC,Timothy Tillman,LAFC,24153,0.2555555555555556,FALSE,1,FALSE,FALSE,timothy|michael|ream,timothy|tillman
MLS,15869,Magomed-Shapi Suleymanov,Sporting Kansas City,Shapi Suleymanov,Sporting Kansas City,18920,0.23686594202898556,TRUE,1,FALSE,FALSE,magomedshapi|suleymanov,shapi|suleymanov
MLS,17974,Kellyn  Acosta,Chicago Fire,Kellyn Kai Perry-Acosta,Chicago Fire,13035,0.20046620046620062,TRUE,1,FALSE,FALSE,kellyn|acosta,kellyn|kai|perryacosta
MLS,25015,Matt Polster,New England Revolution,Matti Peltola,DC United,111936,0.16581196581196586,FALSE,0,FALSE,FALSE,matt|polster,matti|peltola
MLS,25193,Gabriel Fortes Chaves,LA Galaxy,Gabriel Pec,LA Galaxy,32247,0.2049062049062049,TRUE,1,FALSE,FALSE,gabriel|fortes|chaves,gabriel|pec
MLS,25477,Kee-Hee Kim,Seattle Sounders,Emeka Eneli,Real Salt Lake,389330,0.3164502164502164,FALSE,0,FALSE,FALSE,keehee|kim,emeka|eneli
